股票代號,公司名稱,產業大類,受惠股,公布或事件日期,政策狀態,政策名稱,證據文件,正式政策,事件日至今總漲幅（截至2026-07-17）
TSM,Taiwan Semiconductor Manufacturing,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+20.90%
TXN,Texas Instruments Inc.,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+52.40%
WOLF,Wolfspeed Inc,半導體／美國製造／AI 晶片,有(紅色),2026-01-14,已生效,"Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States","Proclamation 11002 — Adjusting Imports of Semiconductors, Semiconductor Manufacturing Equipment, and Their Derivative Products into the United States",Presidential Proclamation 11002（Section 232）,+53.20%
ALAB,Astera Labs Inc.,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ARM,Arm Holdings plc.,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ASML,ASML Holding NV,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AVGO,Broadcom Inc,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CRDO,Credo Technology Group Holding Ltd,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MPWR,Monolithic Power System Inc,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MRVL,Marvell Technology Inc,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MTSI,MACOM Technology Solutions Holdings Inc,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NXPI,NXP Semiconductors NV,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
Q,Qnity Electronics Inc,半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
QCOM,"Qualcomm, Inc.",半導體／美國製造／AI 晶片,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ABAT,American Battery Technology Company,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+116.51%
ALB,Albemarle Corp.,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+55.01%
CLF,Cleveland-Cliffs Inc,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,-2.93%
LAC,Lithium Americas Corp (NewCo),關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,-2.64%
METC,Ramaco Resources Inc,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+25.51%
MP,MP Materials Corporation,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+68.74%
NB,NioCorp Developments Ltd,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+142.05%
PLL,Piedmont Lithium Inc,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+198.66%
PPTA,Perpetua Resources Corp.,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+51.57%
TMQ,Trilogy Metals Inc,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+85.09%
UAMY,United States Antimony Corp.,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+203.33%
USAR,USA Rare Earth Inc.,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+0.87%
UUUU,Energy Fuels Inc,關鍵礦物／國安材料,有(紅色),2025-03-20,執行中,Immediate Measures to Increase American Mineral Production,Executive Order 14241 — Immediate Measures to Increase American Mineral Production,Executive Order 14241,+168.46%
AA,Alcoa Corp,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ATLX,Atlas Lithium Corporation,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CC,Chemours Company,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CDE,Coeur Mining Inc,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CRS,Carpenter Technology Corp.,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
FCX,Freeport-McMoRan Inc,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ICL,ICL Group Ltd,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NEM,Newmont Corp,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
RIO,Rio Tinto plc,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SCCO,Southern Copper Corporation,關鍵礦物／國安材料,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ASPI,ASP Isotopes Inc,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-50.32%
BWXT,BWX Technologies Inc,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+59.95%
CCJ,Cameco Corp.,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+62.44%
CEG,Constellation Energy Corporation,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-12.95%
DNN,Denison Mines Corp,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+88.00%
EU,enCore Energy Corp,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-28.13%
LEU,Centrus Energy Corp,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+67.49%
LTBR,Lightbridge Corp,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-31.71%
NNE,Nano Nuclear Energy Inc.,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-41.86%
NXE,NexGen Energy Ltd,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+61.76%
OKLO,Oklo Inc.,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+3.50%
SMR,NuScale Power Corporation,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,-69.51%
UEC,Uranium Energy Corp,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+79.84%
URG,Ur-Energy Inc.,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+73.24%
UUUU,Energy Fuels Inc,核能／鈾／先進電力,有(紅色),2025-05-23,執行中,Reinvigorating the Nuclear Industrial Base,Executive Order 14302 — Reinvigorating the Nuclear Industrial Base,Executive Order 14302,+155.33%
D,Dominion Energy Inc,核能／鈾／先進電力,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
EXC,Exelon Corp.,核能／鈾／先進電力,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NEE,NextEra Energy Inc,核能／鈾／先進電力,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SO,Southern Company,核能／鈾／先進電力,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
VST,Vistra Corp,核能／鈾／先進電力,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
IBM,International Business Machines Corp.,量子科技,有(紅色),2026-06-22,執行中,Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413 — Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413,-14.62%
INFQ,Infleqtion Inc.,量子科技,有(紅色),2026-06-22,執行中,Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413 — Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413,-32.82%
IONQ,IonQ Inc,量子科技,有(紅色),2026-06-22,執行中,Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413 — Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413,-38.50%
QBTS,D-Wave Quantum Inc,量子科技,有(紅色),2026-06-22,執行中,Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413 — Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413,-32.24%
RGTI,Rigetti Computing Inc,量子科技,有(紅色),2026-06-22,執行中,Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413 — Ushering in the Next Frontier of Quantum Innovation,Executive Order 14413,-33.94%
ARQQ,Arqit Quantum Inc,量子科技,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
LAES,SEALSQ Corp,量子科技,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
QUBT,Quantum Computing Inc,量子科技,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CQP,Cheniere Energy Partners LP,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+9.42%
DTM,DT Midstream Inc,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+34.68%
ET,Energy Transfer LP,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+11.76%
FLNG,Flex Lng Ltd,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+49.73%
GLNG,Golar Lng,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+23.15%
KMI,Kinder Morgan Inc,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+13.38%
LNG,Cheniere Energy Inc.,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+5.37%
NFE,New Fortress Energy Inc,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,-97.81%
OKE,Oneok Inc.,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,-7.32%
SRE,Sempra,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+13.43%
TRGP,Targa Resources Corp,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+35.40%
WMB,Williams Cos Inc,傳統能源／LNG,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+30.25%
GEL,Genesis Energy L.P.,傳統能源／LNG,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
GPP,Green Plains Partners LP,傳統能源／LNG,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MPLX,MPLX LP,傳統能源／LNG,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
COP,Conoco Phillips,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+13.83%
CQP,Cheniere Energy Partners LP,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+9.42%
DTM,DT Midstream Inc,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+34.68%
ET,Energy Transfer LP,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+11.76%
FLNG,Flex Lng Ltd,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+49.73%
GLNG,Golar Lng,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+23.15%
KMI,Kinder Morgan Inc,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+13.38%
LNG,Cheniere Energy Inc.,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+5.37%
NFE,New Fortress Energy Inc,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,-97.81%
OKE,Oneok Inc.,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,-7.32%
SRE,Sempra,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+13.43%
TRGP,Targa Resources Corp,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+35.40%
WMB,Williams Cos Inc,傳統能源／油氣,有(紅色),2025-01-20,執行中,Unleashing American Energy,Executive Order 14154 — Unleashing American Energy,Executive Order 14154,+30.25%
APA,APA Corporation,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AR,Antero Resources Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
BKR,Baker Hughes Co,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CHRD,Chord Energy Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CNX,CNX Resources Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CRC,California Resources Corporation,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CTRA,Coterra Energy Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
CVX,Chevron Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
DVN,Devon Energy Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
EOG,"EOG Resources, Inc.",傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
EQT,EQT Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
EXE,Expand Energy Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
FANG,Diamondback Energy Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
FTI,TechnipFMC plc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
HAL,Halliburton Co.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
HP,"Helmerich & Payne, Inc.",傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
LBRT,Liberty Energy Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MGY,Magnolia Oil & Gas Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MPC,Marathon Petroleum Corp,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
MTDR,Matador Resources Co,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NBR,Nabors Industries Ltd,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
NOV,NOV Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
OVV,Ovintiv Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
OXY,Occidental Petroleum Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
PBF,PBF Energy Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
PR,Permian Resources Holdings Inc.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
PSX,Phillips 66,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
PTEN,Patterson-UTI Energy Inc,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
RIG,Transocean Ltd,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SLB,SLB Ltd.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SM,SM Energy Co,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
SUN,Sunoco LP,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
VLO,Valero Energy Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
VTLE,Vital Energy Inc.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
XOM,ExxonMobil Holdings Corp.,傳統能源／油氣,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
AMR,Alpha Metallurgical Resources Inc,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+31.28%
ARLP,"Alliance Resource Partners, LP",煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+11.84%
BTU,Peabody Energy Corp.,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+121.40%
CNR,Core Natural Resources Inc.,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+28.72%
HCC,Warrior Met Coal Inc,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+94.21%
METC,Ramaco Resources Inc,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+74.55%
NC,Nacco Industries Inc.,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+58.17%
NRP,Natural Resource Partners LP,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+12.19%
SXC,SunCoke Energy Inc,煤炭／冶金煤,有(紅色),2025-04-08,執行中,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261 — Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,Executive Order 14261,+9.10%
TECK,Teck Resources Ltd,煤炭／冶金煤,沒有(灰色),未確認,未確認,未確認,未找到公司層級政策關聯證據,未確認正式政策關聯,N/A（事件日期未確認）
ABAT,American Battery Technology Company,EV／電池／回收,有(紅色),2025-04-29,已生效,Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Proclamation 10925 — Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Presidential Proclamation 10925（Section 232）,+105.22%
AMPX,Amprius Technologies Inc,EV／電池／回收,有(紅色),2025-04-29,已生效,Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Proclamation 10925 — Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Presidential Proclamation 10925（Section 232）,+300.00%
EVGO,EVgo Inc,EV／電池／回收,有(紅色),2025-04-29,已生效,Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Proclamation 10925 — Amendments to Adjusting Imports of Automobiles and Automobile Parts into the United States,Presidential Proclamation 10925（Section 232）,-40.43%
